rssd9017,rssd9017_name,bank_tier,first_year,last_year,years_observed,innovation_cluster,cluster_name,cluster_full_label,umap_1,umap_2
COMPASS BANK,COMPASS BANK,Large,2010,2019,10,2,Quality Improvers,Large - Quality Improvers,13.369282722473145,-26.00777816772461
DEUTSCHE BANK TRUST COMPANY AMERICAS,DEUTSCHE BANK TRUST COMPANY AMERICAS,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,12.122596740722656,-26.682628631591797
DISCOVER BANK,DISCOVER BANK,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,10.764015197753906,-26.356340408325195
E*TRADE BANK,E*TRADE BANK,Large,2012,2021,10,2,Quality Improvers,Large - Quality Improvers,12.881241798400879,-26.724336624145508
FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,13.677315711975098,-26.060596466064453
FIRST MIDWEST BANK,FIRST MIDWEST BANK,Large,2010,2021,14,2,Quality Improvers,Large - Quality Improvers,10.238951683044434,-25.725627899169922
FIRST TENNESSEE BANK NATIONAL ASSOCIATION,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,Large,2010,2019,10,2,Quality Improvers,Large - Quality Improvers,12.934215545654297,-26.157609939575195
FIRSTBANK PUERTO RICO,FIRSTBANK PUERTO RICO,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,10.28310489654541,-26.320728302001953
FROST BANK,FROST BANK,Large,2012,2021,10,2,Quality Improvers,Large - Quality Improvers,13.667135238647461,-25.038450241088867
GLACIER BANK,GLACIER BANK,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,11.167914390563965,-27.023759841918945
GREAT WESTERN BANK,GREAT WESTERN BANK,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,13.322779655456543,-25.620553970336914
"HSBC BANK USA, NATIONAL ASSOCIATION","HSBC BANK USA, NATIONAL ASSOCIATION",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,11.365741729736328,-26.57832145690918
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,11.446800231933594,-26.869422912597656
KEYBANK NATIONAL ASSOCIATION,KEYBANK NATIONAL ASSOCIATION,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,11.090141296386719,-26.560401916503906
MANUFACTURERS AND TRADERS TRUST COMPANY,MANUFACTURERS AND TRADERS TRUST COMPANY,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,13.730568885803223,-25.568012237548828
MIDFIRST BANK,MIDFIRST BANK,Large,2012,2021,11,2,Quality Improvers,Large - Quality Improvers,13.402936935424805,-24.984601974487305
"NBT BANK, NATIONAL ASSOCIATION","NBT BANK, NATIONAL ASSOCIATION",Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,13.029991149902344,-24.636810302734375
