rssd9017,rssd9017_name,bank_tier,first_year,last_year,years_observed,innovation_cluster,cluster_name,cluster_full_label,umap_1,umap_2
NORTHERN CALIFORNIA NATIONAL BANK,NORTHERN CALIFORNIA NATIONAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,-0.9833770990371704,3.0234320163726807
NORTHERN STATE BANK,NORTHERN STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.6102170944213867,3.194789171218872
"NORTHERN STATE BANK OF GONVICK, THE","NORTHERN STATE BANK OF GONVICK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.5021817684173584,2.844642400741577
NORTHERN STATE BANK OF THIEF RIVER FALLS,NORTHERN STATE BANK OF THIEF RIVER FALLS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.1359314918518066,2.903914213180542
NORTHERN STATE BANK OF VIRGINIA,NORTHERN STATE BANK OF VIRGINIA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.486063480377197,3.567704439163208
NORTHMARK BANK,NORTHMARK BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.2372217178344727,5.553012371063232
NORTHSIDE BANK,NORTHSIDE BANK,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,5.161959171295166,6.0258989334106445
NORTHSIDE COMMUNITY BANK,NORTHSIDE COMMUNITY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.54469633102417,6.053886890411377
NORTHSTAR BANK,NORTHSTAR BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.163874626159668,5.233624458312988
"NORTHUMBERLAND NATIONAL BANK, THE","NORTHUMBERLAND NATIONAL BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.073079824447632,5.768606185913086
NORTHVIEW BANK,NORTHVIEW BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.612431049346924,4.48555850982666
NORTHWEST BANK & TRUST COMPANY,NORTHWEST BANK & TRUST COMPANY,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,2.3675379753112793,5.937080383300781
NORTHWEST BANK OF ROCKFORD,NORTHWEST BANK OF ROCKFORD,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.1416544914245605,7.225025177001953
NORTHWEST COMMUNITY BANK,NORTHWEST COMMUNITY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.118918538093567,2.924849271774292
NORTHWESTERN BANK,NORTHWESTERN BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.756520748138428,5.856584548950195
"NORTHWESTERN BANK, NATIONAL ASSOCIATION","NORTHWESTERN BANK, NATIONAL ASSOCIATION",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.3677349090576172,6.1011152267456055
"NORTHWESTERN BANK, THE","NORTHWESTERN BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.836828231811523,6.166687488555908
NORTHWOODS BANK OF MINNESOTA,NORTHWOODS BANK OF MINNESOTA,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,3.277869462966919,6.082197189331055
NORWOOD CO-OPERATIVE BANK,NORWOOD CO-OPERATIVE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.3891042470932007,4.596951961517334
NSB BANK,NSB BANK,Small,2013,2021,9,1,Traditional Majority,Small - Traditional Majority,1.16527259349823,6.396062850952148
NVE BANK,NVE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.2227648496627808,7.645716190338135
O'BANNON BANKING COMPANY,O'BANNON BANKING COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.6176440715789795,4.838533401489258
OAK BANK,OAK BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.331095218658447,4.8051981925964355
OAK CREEK VALLEY BANK,OAK CREEK VALLEY BANK,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,1.3357781171798706,7.97714376449585
OAK VIEW NATIONAL BANK,OAK VIEW NATIONAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.076708793640137,5.573971748352051
OAKDALE STATE BANK,OAKDALE STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.8433371782302856,6.706836700439453
OCONEE FEDERAL SAVINGS AND LOAN ASSOCIATION,OCONEE FEDERAL SAVINGS AND LOAN ASSOCIATION,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,3.1482784748077393,4.040513038635254
OCONEE STATE BANK,OCONEE STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,6.1657395362854,6.108564853668213
ODIN STATE BANK,ODIN STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.749164342880249,4.602421760559082
OHANA PACIFIC BANK,OHANA PACIFIC BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.250462055206299,4.918509483337402
OHNWARD BANK & TRUST,OHNWARD BANK & TRUST,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.722525119781494,5.851509094238281
OKLAHOMA BANK AND TRUST COMPANY,OKLAHOMA BANK AND TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.7878167629241943,5.941635608673096
OKLAHOMA HERITAGE BANK,OKLAHOMA HERITAGE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.077524185180664,6.160586833953857
OKLAHOMA STATE BANK,OKLAHOMA STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.7851558923721313,5.718403339385986
OLD DOMINION NATIONAL BANK,OLD DOMINION NATIONAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.7172341346740723,5.708070755004883
"OLD EXCHANGE NATIONAL BANK OF OKAWVILLE, THE","OLD EXCHANGE NATIONAL BANK OF OKAWVILLE, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.9212112426757812,1.8442392349243164
"OLD FORT BANKING COMPANY, THE","OLD FORT BANKING COMPANY, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,6.092938423156738,4.986670970916748
OLD MISSION BANK,OLD MISSION BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.176305294036865,3.396427869796753
OLD MISSOURI BANK,OLD MISSOURI BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.931586742401123,6.546863555908203
OLMSTED NATIONAL BANK,OLMSTED NATIONAL BANK,Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,1.7550482749938965,5.142744064331055
OLYMPIA FEDERAL SAVINGS AND LOAN ASSOCIATION,OLYMPIA FEDERAL SAVINGS AND LOAN ASSOCIATION,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,0.7199985384941101,6.280523300170898
OMNIBANK,OMNIBANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.8622920513153076,4.38059663772583
ONE WORLD BANK,ONE WORLD BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.1336283683776855,7.311272144317627
ONEUNITED BANK,ONEUNITED BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.879896640777588,6.894740104675293
OOSTBURG STATE BANK,OOSTBURG STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.289421319961548,4.161008834838867
OPTIMA BANK AND TRUST COMPANY,OPTIMA BANK AND TRUST COMPANY,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,0.6829107403755188,4.481007099151611
OPTIMUMBANK,OPTIMUMBANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.589160919189453,8.310720443725586
OREGON COAST BANK,OREGON COAST BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.675875186920166,5.3158769607543945
OREGON PACIFIC BANKING CO. DBA OREGON PACIFIC BANK,OREGON PACIFIC BANKING CO. DBA OREGON PACIFIC BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,6.327000617980957,5.719144821166992
ORMSBY STATE BANK,ORMSBY STATE BANK,Small,2010,2020,11,1,Traditional Majority,Small - Traditional Majority,3.769547700881958,1.029571771621704
OSB COMMUNITY BANK,OSB COMMUNITY BANK,Small,2010,2021,11,1,Traditional Majority,Small - Traditional Majority,1.4054577350616455,8.18579387664795
OSGOOD STATE BANK,OSGOOD STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.585402965545654,7.3438029289245605
OSSIAN STATE BANK,OSSIAN STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.6842284202575684,3.2422921657562256
OTTAWA SAVINGS BANK,OTTAWA SAVINGS BANK,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,2.4073073863983154,7.612874984741211
"OTTOVILLE BANK COMPANY, THE","OTTOVILLE BANK COMPANY, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.0462744235992432,5.372826099395752
OUR COMMUNITY BANK,OUR COMMUNITY BANK,Small,2011,2021,11,1,Traditional Majority,Small - Traditional Majority,4.525410175323486,5.012701988220215
OWEN COUNTY STATE BANK,OWEN COUNTY STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.4095659255981445,4.707801818847656
OWINGSVILLE BANKING COMPANY,OWINGSVILLE BANKING COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.8780370950698853,3.3456408977508545
OXFORD BANK,OXFORD BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.14829683303833,8.135828971862793
OXFORD BANK & TRUST,OXFORD BANK & TRUST,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.86030912399292,7.119382381439209
OXFORD UNIVERSITY BANK,OXFORD UNIVERSITY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.695272922515869,4.881509304046631
OZARK BANK,OZARK BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.1531460285186768,4.9953694343566895
OZARKS FEDERAL SAVINGS AND LOAN ASSOCIATION,OZARKS FEDERAL SAVINGS AND LOAN ASSOCIATION,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,1.5514631271362305,7.3252339363098145
"OZONA NATIONAL BANK, THE","OZONA NATIONAL BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.550709247589111,4.3696465492248535
PACIFIC ALLIANCE BANK,PACIFIC ALLIANCE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.5622924566268921,4.809106826782227
PACIFIC COMMERCE BANK,PACIFIC COMMERCE BANK,Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,5.6652302742004395,6.303194999694824
PACIFIC ENTERPRISE BANK,PACIFIC ENTERPRISE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.9160575866699219,6.956064701080322
PACIFIC GLOBAL BANK,PACIFIC GLOBAL BANK,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,5.134299278259277,7.686747074127197
PACIFIC VALLEY BANK,PACIFIC VALLEY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.554211139678955,6.575920581817627
PACIFIC WEST BANK,PACIFIC WEST BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.668814659118652,8.325227737426758
"PADUCAH BANK AND TRUST COMPANY, THE","PADUCAH BANK AND TRUST COMPANY, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.831602573394775,6.107916355133057
PALMETTO HERITAGE BANK & TRUST,PALMETTO HERITAGE BANK & TRUST,Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,1.3189030885696411,6.909900665283203
PALMETTO STATE BANK,PALMETTO STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.9863996505737305,5.249815940856934
PANOLA NATIONAL BANK,PANOLA NATIONAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.320802688598633,4.20286226272583
PANORA STATE BANK,PANORA STATE BANK,Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,1.4911413192749023,7.396178722381592
PARAGON BANK,PARAGON BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.292046546936035,6.060593605041504
PARK RIDGE COMMUNITY BANK,PARK RIDGE COMMUNITY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,-0.16794732213020325,4.337960243225098
PARK STATE BANK,PARK STATE BANK,Small,2010,2021,13,1,Traditional Majority,Small - Traditional Majority,3.1829020977020264,7.246408462524414
PARK STATE BANK & TRUST,PARK STATE BANK & TRUST,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.007880687713623,6.989617824554443
PARKSIDE FINANCIAL BANK AND TRUST,PARKSIDE FINANCIAL BANK AND TRUST,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.8582844138145447,3.7261459827423096
PARTNERS BANK OF CALIFORNIA,PARTNERS BANK OF CALIFORNIA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.358484268188477,6.335705757141113
PASSUMPSIC SAVINGS BANK,PASSUMPSIC SAVINGS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.766902446746826,5.811923503875732
"PATASKALA BANKING COMPANY, THE","PATASKALA BANKING COMPANY, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.087348461151123,3.0780575275421143
PATRIOT BANK,PATRIOT BANK,Small,2010,2021,13,1,Traditional Majority,Small - Traditional Majority,5.632608890533447,4.183113098144531
PATRIOT COMMUNITY BANK,PATRIOT COMMUNITY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.24326753616333,7.812526702880859
PATRIOTS BANK,PATRIOTS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.9575390815734863,4.177365779876709
PATTERSON STATE BANK,PATTERSON STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.5359878540039062,4.4910712242126465
"PAULS VALLEY NATIONAL BANK, THE","PAULS VALLEY NATIONAL BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.7760791778564453,4.561895370483398
PAVILLION BANK,PAVILLION BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.009338140487671,4.5534186363220215
"PAYNE COUNTY BANK, THE","PAYNE COUNTY BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.5592517852783203,4.517186164855957
PBI BANK,PBI BANK,Small,2010,2017,9,1,Traditional Majority,Small - Traditional Majority,4.264188766479492,4.900855541229248
"PBK BANK, INC","PBK BANK, INC",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.47995138168335,5.986485958099365
PCSB BANK,PCSB BANK,Small,2013,2021,9,1,Traditional Majority,Small - Traditional Majority,0.7725396156311035,4.377548694610596
PEACH STATE BANK & TRUST,PEACH STATE BANK & TRUST,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.662022113800049,7.118969440460205
PEARLAND STATE BANK,PEARLAND STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.0112056732177734,3.4620635509490967
"PECOS COUNTY STATE BANK, THE","PECOS COUNTY STATE BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.0238590240478516,5.418941497802734
PEE DEE FEDERAL SAVINGS BANK,PEE DEE FEDERAL SAVINGS BANK,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,5.77283239364624,8.34693431854248
PEGASUS BANK,PEGASUS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.04088667035102844,4.086599349975586
"PENNSVILLE NATIONAL BANK, THE","PENNSVILLE NATIONAL BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.6116976737976074,4.830204010009766
PENTUCKET BANK,PENTUCKET BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.9390709400177002,7.090882301330566
PEOPLE'S BANK AND TRUST COMPANY OF CLINTON COUNTY,PEOPLE'S BANK AND TRUST COMPANY OF CLINTON COUNTY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.493011474609375,6.72225284576416
PEOPLE'S BANK AND TRUST COMPANY OF PICKETT COUNTY,PEOPLE'S BANK AND TRUST COMPANY OF PICKETT COUNTY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.434034824371338,6.433386325836182
PEOPLE'S BANK OF COMMERCE,PEOPLE'S BANK OF COMMERCE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.8945860862731934,3.7701587677001953
PEOPLE'S BANK OF SENECA,PEOPLE'S BANK OF SENECA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.3320158123970032,6.170925140380859
PEOPLEFIRST BANK,PEOPLEFIRST BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.873394012451172,6.8499860763549805
PEOPLES BANK,PEOPLES BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.308208465576172,5.562674045562744
PEOPLES BANK & TRUST,PEOPLES BANK & TRUST,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.082653045654297,3.399388551712036
PEOPLES BANK & TRUST CO.,PEOPLES BANK & TRUST CO.,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.7678608894348145,7.34747314453125
PEOPLES BANK & TRUST COMPANY OF HAZARD,PEOPLES BANK & TRUST COMPANY OF HAZARD,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.0418074131011963,2.422356128692627
PEOPLES BANK & TRUST COMPANY OF MADISON COUNTY,PEOPLES BANK & TRUST COMPANY OF MADISON COUNTY,Small,2010,2020,11,1,Traditional Majority,Small - Traditional Majority,2.261871337890625,5.673915863037109
PEOPLES BANK AND TRUST COMPANY,PEOPLES BANK AND TRUST COMPANY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.6018097996711731,5.998795986175537
PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.0606887340545654,5.87632417678833
"PEOPLES BANK CO., THE","PEOPLES BANK CO., THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.561893939971924,3.2370331287384033
PEOPLES BANK MT WASHINGTON,PEOPLES BANK MT WASHINGTON,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.4555652141571045,2.7192344665527344
PEOPLES BANK OF ALTENBURG,PEOPLES BANK OF ALTENBURG,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.34768533706665,5.552278995513916
PEOPLES BANK OF DEER LODGE,PEOPLES BANK OF DEER LODGE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.6738515496253967,6.200769424438477
PEOPLES BANK OF EAST TENNESSEE,PEOPLES BANK OF EAST TENNESSEE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.26887845993042,5.630415916442871
PEOPLES BANK OF GRACEVILLE,PEOPLES BANK OF GRACEVILLE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.2804160118103027,3.3883132934570312
PEOPLES BANK OF GREENSBORO,PEOPLES BANK OF GREENSBORO,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.6400575637817383,2.566131353378296
PEOPLES BANK OF KANKAKEE COUNTY,PEOPLES BANK OF KANKAKEE COUNTY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.260034561157227,2.9035723209381104
"PEOPLES BANK OF KENTUCKY, INC.","PEOPLES BANK OF KENTUCKY, INC.",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.9626966714859009,4.783627033233643
PEOPLES BANK OF MACON,PEOPLES BANK OF MACON,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.770987629890442,2.951502561569214
PEOPLES BANK OF MONITEAU COUNTY,PEOPLES BANK OF MONITEAU COUNTY,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.8955464363098145,4.504226207733154
"PEOPLES BANK OF RED LEVEL, THE","PEOPLES BANK OF RED LEVEL, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.82454252243042,7.422518253326416
PEOPLES BANK OF THE SOUTH,PEOPLES BANK OF THE SOUTH,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.935777187347412,5.547200679779053
PEOPLES BANK OF WYACONDA,PEOPLES BANK OF WYACONDA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.7002720236778259,6.311103343963623
PEOPLES BANK THE,PEOPLES BANK THE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.929789066314697,4.619908332824707
"PEOPLES BANK, BILOXI, MISSISSIPPI, THE","PEOPLES BANK, BILOXI, MISSISSIPPI, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.037331581115723,7.5322747230529785
"PEOPLES BANK, THE","PEOPLES BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.9578213691711426,5.031001091003418
PEOPLES COMMUNITY BANK,PEOPLES COMMUNITY BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.5483601093292236,7.181921482086182
"PEOPLES COMMUNITY BANK, THE","PEOPLES COMMUNITY BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,6.0061421394348145,4.744383811950684
PEOPLES EXCHANGE BANK,PEOPLES EXCHANGE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.7619211673736572,3.639220952987671
PEOPLES FEDERAL SAVINGS AND LOAN ASSOCIATION,PEOPLES FEDERAL SAVINGS AND LOAN ASSOCIATION,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,3.2448360919952393,3.886415481567383
PEOPLES INDEPENDENT BANK,PEOPLES INDEPENDENT BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.745830059051514,5.98749303817749
PEOPLES NATIONAL BANK,PEOPLES NATIONAL BANK,Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,3.6384096145629883,6.614997863769531
"PEOPLES NATIONAL BANK OF CHECOTAH, THE","PEOPLES NATIONAL BANK OF CHECOTAH, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.8231730461120605,4.13283109664917
PEOPLES NATIONAL BANK OF KEWANEE,PEOPLES NATIONAL BANK OF KEWANEE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.071253776550293,2.3084206581115723
"PEOPLES NATIONAL BANK OF MT. PLEASANT, THE","PEOPLES NATIONAL BANK OF MT. PLEASANT, THE",Small,2010,2019,10,1,Traditional Majority,Small - Traditional Majority,3.6000144481658936,1.8859912157058716
"PEOPLES NATIONAL BANK, THE","PEOPLES NATIONAL BANK, THE",Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,4.046678066253662,6.636077404022217
"PEOPLES SAVINGS AND LOAN COMPANY, THE","PEOPLES SAVINGS AND LOAN COMPANY, THE",Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,2.015345811843872,6.87632942199707
PEOPLES SAVINGS BANK,PEOPLES SAVINGS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.135773658752441,4.533895015716553
PEOPLES SAVINGS BANK OF RHINELAND,PEOPLES SAVINGS BANK OF RHINELAND,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.629085063934326,5.454326152801514
"PEOPLES SAVINGS BANK, THE","PEOPLES SAVINGS BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.798320770263672,2.7028653621673584
PEOPLES SOUTHERN BANK,PEOPLES SOUTHERN BANK,Small,2010,2018,9,1,Traditional Majority,Small - Traditional Majority,3.3499209880828857,2.6268160343170166
PEOPLES STATE BANK,PEOPLES STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.828153610229492,4.884866237640381
PEOPLES STATE BANK OF COLFAX,PEOPLES STATE BANK OF COLFAX,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,-0.2366083860397339,3.9379920959472656
PEOPLES STATE BANK OF HALLETTSVILLE,PEOPLES STATE BANK OF HALLETTSVILLE,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.04661807417869568,5.872811317443848
PEOPLES STATE BANK OF MUNISING,PEOPLES STATE BANK OF MUNISING,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.387749195098877,4.529254913330078
"PEOPLES STATE BANK OF NEWTON, ILLINOIS, THE","PEOPLES STATE BANK OF NEWTON, ILLINOIS, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,2.0435256958007812,7.163237571716309
PEOPLES STATE BANK OF PLAINVIEW,PEOPLES STATE BANK OF PLAINVIEW,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,3.5253498554229736,3.667476177215576
PEOPLES STATE BANK OF VELVA,PEOPLES STATE BANK OF VELVA,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.5015817284584045,5.678646087646484
PEOPLES STATE BANK OF WELLS,PEOPLES STATE BANK OF WELLS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.1394345611333847,3.954305648803711
"PEOPLES STATE BANK, FAIRMOUNT, NORTH DAKOTA","PEOPLES STATE BANK, FAIRMOUNT, NORTH DAKOTA",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.8793453574180603,5.679802894592285
"PEOPLES STATE BANK, THE","PEOPLES STATE BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.651592254638672,6.9566144943237305
PEOPLES TRUST AND SAVINGS BANK,PEOPLES TRUST AND SAVINGS BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,0.8845101594924927,4.7438483238220215
PEOPLES TRUST COMPANY OF ST. ALBANS,PEOPLES TRUST COMPANY OF ST. ALBANS,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.311497211456299,5.143540382385254
PEOPLESSOUTH BANK,PEOPLESSOUTH BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.441004276275635,4.7923808097839355
PEOPLESTRUST BANK,PEOPLESTRUST BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.8557801246643066,6.078059196472168
PERPETUAL FEDERAL SAVINGS BANK OF URBANA,PERPETUAL FEDERAL SAVINGS BANK OF URBANA,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,2.809511423110962,7.387172698974609
"PERRYTON NATIONAL BANK, THE","PERRYTON NATIONAL BANK, THE",Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,1.6676684617996216,7.459606647491455
PERU FEDERAL SAVINGS BANK,PERU FEDERAL SAVINGS BANK,Small,2012,2021,10,1,Traditional Majority,Small - Traditional Majority,2.086247444152832,7.314179420471191
PESHTIGO NATIONAL BANK,PESHTIGO NATIONAL BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,4.4944748878479,3.1980507373809814
PETIT JEAN STATE BANK,PETIT JEAN STATE BANK,Small,2010,2021,12,1,Traditional Majority,Small - Traditional Majority,5.2254228591918945,8.041192054748535
